Date,NRIC,NTC,SHIVM,HRL,NYADI,RADHI,NHPC,KPCL,HDHPC,DHPL,API,AKPL,UNHPL
2024-05-15,687.5,829.0,502.5,563.1,285.0,235.0,148.0,404.8,133.1,198.9,172.6,167.1,220.1
2024-05-16,693.0,830.0,497.5,556.6,287.1,232.0,146.0,413.3,133.4,196.8,170.2,165.1,219.2
2024-05-19,679.9,850.0,509.0,582.1,286.0,238.0,146.0,415.0,133.0,198.0,174.0,170.0,220.3
2024-05-20,682.9,857.0,504.0,583.0,294.2,241.5,148.0,412.0,134.2,198.2,175.7,171.0,224.0
2024-05-21,692.0,856.0,506.0,585.7,302.0,245.0,149.0,447.0,135.0,202.0,176.6,170.6,241.0
2024-05-22,678.0,850.0,510.1,595.3,299.0,245.0,149.0,436.1,133.6,198.0,177.0,170.2,232.5
2024-05-26,668.0,849.0,508.2,584.3,288.0,239.0,147.0,423.0,132.0,194.5,174.0,172.4,228.0
2024-05-27,675.0,847.3,513.8,585.1,293.0,239.0,146.9,437.9,132.9,195.0,173.0,172.0,230.9
2024-05-29,666.0,842.0,502.0,578.1,291.0,232.0,147.0,429.9,130.5,191.0,172.0,168.9,229.3
2024-05-30,668.7,832.1,499.0,573.7,283.0,231.0,145.9,434.4,130.2,190.0,169.2,166.9,223.9
2024-06-02,669.0,843.0,499.5,580.0,295.0,231.0,146.0,459.0,130.4,190.0,168.0,166.1,228.0
2024-06-03,666.0,839.9,494.0,572.1,294.6,231.9,145.5,452.9,129.8,189.1,168.0,164.0,225.0
2024-06-04,663.0,840.0,494.0,570.7,288.6,232.0,147.2,447.8,129.0,190.0,168.9,163.1,224.0
2024-06-05,662.0,830.6,491.0,568.1,291.0,229.9,146.0,439.0,128.7,188.7,167.0,163.0,221.8
2024-06-06,656.0,833.1,491.0,561.8,285.0,229.0,144.0,443.5,127.8,189.4,167.0,161.7,219.0
2024-06-09,649.0,831.9,493.9,568.7,294.0,229.9,142.1,442.0,127.7,187.2,167.2,162.1,222.9
2024-06-10,647.0,830.0,494.0,572.7,303.0,239.9,143.5,453.0,130.4,193.2,173.8,165.7,231.0
2024-06-11,654.8,834.0,497.0,570.0,314.0,254.0,146.3,484.9,132.0,201.6,176.0,169.8,238.0
2024-06-12,656.7,836.0,503.3,568.0,308.0,254.0,147.0,486.0,132.5,199.0,176.0,168.0,235.6
2024-06-13,648.0,832.9,497.1,557.5,307.0,265.0,146.9,478.9,129.1,196.8,173.0,167.0,233.5
2024-06-16,635.0,830.0,492.0,552.0,306.7,270.0,149.0,468.6,132.0,210.0,173.8,166.0,243.9
2024-06-18,630.7,820.0,490.0,552.0,303.5,262.0,147.9,460.0,130.0,220.2,172.8,164.9,240.0
2024-06-19,632.0,822.0,488.3,550.6,304.0,268.9,147.2,451.0,129.5,215.1,171.5,164.0,241.0
2024-06-20,636.5,816.9,487.1,543.5,300.0,265.4,144.8,460.0,128.1,209.0,169.0,163.5,237.0
2024-06-23,644.0,816.0,486.0,547.0,302.0,258.1,143.0,458.0,127.9,203.8,169.8,162.5,232.3
2024-06-24,648.0,817.0,481.0,540.0,310.0,255.0,142.4,452.0,127.9,200.0,170.3,162.9,231.0
2024-06-25,644.0,817.5,477.0,543.0,336.8,258.2,142.8,457.0,127.9,209.9,172.0,163.0,237.0
2024-06-26,636.8,812.9,474.5,535.5,326.9,253.7,141.0,462.0,127.0,205.7,168.5,161.1,239.0
2024-06-27,646.7,812.9,473.0,553.0,319.1,254.6,141.0,460.0,125.8,201.5,166.1,159.9,235.0
2024-06-30,634.0,809.0,472.6,539.7,333.0,246.0,138.4,447.0,124.8,202.8,165.9,159.0,237.0
2024-07-01,643.0,807.4,474.0,538.0,330.0,253.0,138.0,442.0,125.0,204.0,165.9,159.0,235.4
2024-07-02,653.0,818.0,486.0,552.0,341.0,256.3,145.6,453.0,131.5,209.0,172.5,165.0,240.7
2024-07-03,642.0,819.0,486.0,541.1,338.0,254.9,143.0,457.9,130.3,205.0,171.0,164.0,241.9
2024-07-04,652.6,810.0,495.0,547.3,327.0,252.2,143.1,454.0,130.0,205.0,171.0,163.0,238.2
2024-07-07,678.0,819.9,496.5,565.0,325.0,254.0,144.0,451.2,130.8,205.0,171.0,163.9,240.0
2024-07-08,674.0,816.0,491.0,562.0,328.0,251.0,143.0,459.0,130.1,207.0,170.4,162.5,238.0
2024-07-09,680.0,821.1,491.0,564.8,339.6,255.0,143.0,453.0,130.0,205.0,171.0,164.0,237.0
2024-07-10,677.2,827.1,491.9,569.9,352.0,258.0,144.9,452.0,131.1,205.0,172.3,164.0,240.0
2024-07-11,690.2,838.0,495.0,577.9,361.9,266.3,147.5,453.5,132.9,211.0,176.1,168.0,241.0
2024-07-14,704.0,853.9,508.0,589.0,359.0,269.5,160.5,460.0,146.1,215.9,188.0,181.4,248.0
2024-07-15,698.0,845.0,502.3,580.0,350.0,268.2,162.9,465.0,149.0,213.0,191.0,185.0,250.5
2024-07-16,713.0,864.0,523.0,590.0,375.0,285.0,175.0,491.0,159.9,223.5,209.4,202.5,270.0
2024-07-17,718.9,874.0,535.9,608.0,370.0,286.4,177.0,495.0,166.6,238.6,208.8,200.1,268.0
2024-07-18,729.9,909.0,531.0,610.0,361.0,303.0,179.0,487.0,166.2,236.5,210.0,201.0,264.9
2024-07-21,763.0,933.5,549.0,638.0,359.9,321.0,182.0,492.0,166.2,232.8,210.2,201.0,279.5
2024-07-22,781.0,928.0,570.9,661.2,365.0,333.9,184.0,524.0,168.9,230.0,220.0,208.8,285.9
2024-07-23,792.9,939.0,588.0,677.0,377.0,348.5,193.8,543.0,182.0,238.4,235.9,218.0,299.0
2024-07-24,778.1,924.0,574.0,663.8,380.0,335.0,193.0,540.0,185.0,235.0,228.1,210.0,284.0
2024-07-25,775.5,924.1,567.0,656.9,375.0,332.0,192.5,519.4,184.6,237.0,228.5,211.0,280.0
2024-07-28,786.6,970.0,590.0,670.0,368.0,334.0,199.6,520.0,186.0,234.8,233.9,217.0,285.0
2024-07-29,784.0,979.0,616.0,658.0,372.0,341.0,196.8,515.0,184.5,234.0,238.5,217.0,292.0
2024-07-30,839.1,978.8,630.4,695.3,376.9,363.0,203.0,539.9,185.0,235.0,241.0,218.7,302.9
2024-07-31,865.0,1006.0,662.0,745.9,380.0,385.0,210.0,534.0,192.0,258.5,258.1,226.0,309.8
2024-08-01,854.9,1000.0,644.0,770.0,372.0,387.0,209.0,530.0,190.3,259.5,253.9,224.9,296.0
2024-08-05,902.0,1040.0,657.0,845.0,375.0,399.5,208.0,534.0,191.0,253.0,269.7,229.5,303.0
2024-08-06,902.0,1020.0,616.5,849.0,355.0,378.3,192.9,528.0,177.5,237.9,250.1,215.0,287.0
2024-08-07,992.2,1079.0,638.0,933.9,370.0,404.0,203.0,551.0,188.0,247.0,268.1,225.9,304.9
2024-08-08,977.0,1064.0,701.8,959.0,361.0,400.0,202.0,545.0,184.8,240.0,275.9,237.9,298.0
2024-08-11,975.0,1124.0,733.0,953.0,367.0,412.0,222.2,559.0,203.2,261.0,297.9,261.6,320.0
2024-08-12,980.0,1122.0,722.0,1000.1,372.0,422.0,244.4,573.2,223.5,285.0,320.0,287.7,326.0
2024-08-13,952.0,1125.0,714.1,1000.0,409.1,414.0,259.0,565.0,237.2,281.9,314.9,286.0,318.0
2024-08-14,963.0,1125.0,745.1,1019.0,431.0,416.0,271.8,570.0,249.9,295.0,346.3,301.0,322.9
2024-08-15,931.0,1113.9,729.0,985.0,415.1,442.0,279.0,585.0,265.1,293.0,375.0,318.0,332.5
2024-08-18,903.1,1080.0,707.0,958.0,380.0,425.5,262.0,563.0,251.0,294.0,367.0,305.0,318.0
2024-08-21,910.1,1064.0,705.0,980.0,384.0,425.6,254.6,557.1,243.5,286.9,363.0,301.0,313.5
2024-08-22,911.0,1068.0,704.0,964.9,386.0,427.0,260.3,555.9,248.0,283.0,367.2,307.2,318.0
2024-08-25,875.0,1039.0,679.0,922.0,369.0,421.0,249.0,536.0,235.0,267.0,367.0,292.1,305.0
2024-08-27,835.9,1001.0,650.0,881.0,360.0,415.0,229.9,513.0,220.0,255.0,349.0,272.0,287.0
2024-08-28,840.0,1003.0,638.0,880.0,350.1,429.0,236.0,514.0,228.5,248.5,346.0,275.0,292.0
2024-08-29,841.0,992.1,631.0,878.0,358.4,449.9,234.0,519.0,225.0,249.0,335.5,269.0,285.0
2024-09-01,837.0,984.0,621.0,861.0,350.0,450.0,226.0,513.0,217.0,246.0,328.0,260.0,280.0
2024-09-02,866.0,1029.0,650.0,894.5,358.2,463.0,248.6,545.0,236.0,258.9,353.0,284.0,300.0
2024-09-03,868.0,1030.0,645.0,883.5,365.0,459.0,255.0,535.0,240.0,265.0,352.0,282.0,297.0
2024-09-04,833.0,989.1,619.9,857.0,368.0,442.5,243.5,512.0,226.9,256.0,338.9,268.0,284.0
2024-09-05,836.0,995.0,612.5,845.0,350.0,433.0,239.0,516.0,223.5,249.2,335.1,264.1,282.5
2024-09-08,824.0,981.0,608.0,827.0,351.0,431.0,234.0,501.0,220.1,245.0,330.0,256.0,278.0
2024-09-09,802.0,967.0,594.0,802.1,349.9,418.5,230.0,484.5,215.5,243.0,321.0,252.0,270.0
2024-09-10,795.1,975.0,588.0,787.9,344.0,405.1,229.0,480.0,212.8,244.2,318.0,249.5,264.0
2024-09-11,800.0,965.0,582.2,781.0,340.0,407.9,224.1,470.5,205.5,242.4,312.0,244.5,257.1
2024-09-12,837.9,985.0,595.0,834.0,350.0,425.1,235.0,504.0,217.0,254.9,328.0,258.0,275.0
2024-09-15,818.9,967.0,583.0,813.1,347.0,409.0,228.4,493.0,213.0,253.0,323.0,248.6,270.0
2024-09-16,792.0,946.9,570.0,799.2,340.1,400.0,221.0,479.9,207.0,242.0,318.7,241.1,265.0
2024-09-18,790.1,942.0,562.0,790.0,333.0,399.0,218.3,479.0,205.0,241.0,317.0,236.3,259.1
