Stock A,Stock B,Signal,Stock to Buy,Latest Z-Score,Rolling Window,Z Entry Threshold A,Z Entry Threshold B,Z Exit Threshold
HDHPC,DHPL,Exit,DHPL,-0.7134323763305632,5,-1.53,1.16,0.01
HDHPC,API,Hold,None,1.0035653107428442,10,-1.01,2.97,-0.17
DHPL,AKPL,Buy,DHPL,-1.5416146818941652,11,-1.06,1.23,-0.08
DHPL,UNHPL,Hold,None,-0.5435233208255941,9,-1.22,1.56,-0.3
AKPL,UNHPL,Buy,UNHPL,1.9824529388494745,8,-1.36,1.32,0.02
NICL,SICL,Hold,None,-0.4674001597122608,9,-1.53,1.16,0.4
NLG,SICL,Exit,SICL,-0.6589646644628605,14,-1.01,1.14,0.34
SICL,PRIN,Buy,PRIN,1.3990589948279273,12,-1.11,1.03,-0.14
PRIN,HRL,Buy,PRIN,-1.2250114762555004,27,-1.21,1.3,-0.26
NRIC,HRL,Buy,NRIC,-1.9599123776454233,8,-1.25,1.03,0.43
SHIVM,HRL,Buy,SHIVM,-2.132471455001469,25,-1.52,1.53,-0.26
SHIVM,HRL,Buy,SHIVM,-2.132471455001469,25,-1.22,1.52,-0.48
